n for sqrt, 1, num steps, 1
n for sqrt, 2, num steps, 4
n for sqrt, 3, num steps, 2
n for sqrt, 4, num steps, 1
n for sqrt, 5, num steps, 4
n for sqrt, 6, num steps, 4
n for sqrt, 7, num steps, 3
n for sqrt, 8, num steps, 4
n for sqrt, 9, num steps, 2
n for sqrt, 10, num steps, 4
n for sqrt, 11, num steps, 4
n for sqrt, 12, num steps, 3
n for sqrt, 13, num steps, 3
n for sqrt, 14, num steps, 4
n for sqrt, 15, num steps, 3
n for sqrt, 16, num steps, 3
n for sqrt, 18, num steps, 4
n for sqrt, 19, num steps, 4
n for sqrt, 20, num steps, 4
n for sqrt, 21, num steps, 3
n for sqrt, 22, num steps, 4
n for sqrt, 24, num steps, 4
n for sqrt, 25, num steps, 3
n for sqrt, 27, num steps, 4
n for sqrt, 28, num steps, 4
n for sqrt, 29, num steps, 4
n for sqrt, 31, num steps, 4
n for sqrt, 32, num steps, 4
n for sqrt, 33, num steps, 4
n for sqrt, 34, num steps, 4
n for sqrt, 35, num steps, 4
n for sqrt, 36, num steps, 3
n for sqrt, 37, num steps, 4
n for sqrt, 39, num steps, 4
n for sqrt, 40, num steps, 4
n for sqrt, 43, num steps, 4
n for sqrt, 44, num steps, 4
n for sqrt, 46, num steps, 4
n for sqrt, 48, num steps, 4
n for sqrt, 49, num steps, 3
n for sqrt, 52, num steps, 4
n for sqrt, 55, num steps, 4
n for sqrt, 57, num steps, 4
n for sqrt, 60, num steps, 4
n for sqrt, 61, num steps, 4
n for sqrt, 63, num steps, 4
n for sqrt, 64, num steps, 3
n for sqrt, 67, num steps, 4
n for sqrt, 72, num steps, 4
n for sqrt, 73, num steps, 4
n for sqrt, 81, num steps, 4
n for sqrt, 84, num steps, 4
n for sqrt, 91, num steps, 4
n for sqrt, 96, num steps, 4
n for sqrt, 99, num steps, 4
n for sqrt, 100, num steps, 4
n for sqrt, 111, num steps, 4
n for sqrt, 121, num steps, 4
n for sqrt, 126, num steps, 4
n for sqrt, 140, num steps, 4
n for sqrt, 143, num steps, 4
n for sqrt, 144, num steps, 4
n for sqrt, 154, num steps, 4
n for sqrt, 169, num steps, 4
n for sqrt, 195, num steps, 4
n for sqrt, 196, num steps, 4
n for sqrt, 225, num steps, 4
n for sqrt, 256, num steps, 4
